Gene ID,Gene Symbol,WT Control,WT Fracture,DTR Control,DTR fracture,LogFC WT Fx vs WT Ctrl,LogFC DTR Fx vs WT FX,LogFC DTR Fx vs DTR Ctrl,LogFC DTR Ctrl vs WT Ctrl,SD WT Control,SD WT Fracture,SD DTR Control,SD DTR Fracture,SEM WT Control,SEM WT Fracture,SEM DTR Control,SEM DTR Fracture
ENSMUSG00000105929.1,Gm43693,10.6,15.8,13.66666667,7.333333333,0.5759,-1.1074,-0.8981,0.3666,6.1887,7.4632,4.5092,4.5092,2.7677,3.3377,2.6034,2.6034
ENSMUSG00000105935.1,Gm43628,34.6,28.2,52.66666667,18.66666667,-0.2951,-0.5952,-1.4964,0.6061,21.9386,18.9394,36.5559,11.9304,9.8112,8.4699,21.1056,6.8880
ENSMUSG00000105936.1,Gm43544,19.4,13.2,32.66666667,13,-0.5555,-0.0220,-1.3293,0.7518,13.1263,8.9833,16.5025,7.0000,5.8703,4.0175,9.5277,4.0415
ENSMUSG00000105957.1,Gm43254,19.8,31.8,50,26,0.6835,-0.2905,-0.9434,1.3364,12.5180,10.4738,22.7156,7.5498,5.5982,4.6840,13.1149,4.3589
ENSMUSG00000105962.1,Gm42432,28.8,23,34,14.66666667,-0.3244,-0.6491,-1.2130,0.2395,19.8796,13.7840,3.6056,11.0604,8.8904,6.1644,2.0817,6.3857
ENSMUSG00000105987.4,AI506816,715.6,826,593.3333333,487.6666667,0.2070,-0.7602,-0.2829,-0.2703,390.4348,262.2432,148.0214,524.7946,174.6077,117.2787,85.4602,302.9903
ENSMUSG00000106019.1,Gm43672,179.2,223.2,282,247.3333333,0.3168,0.1481,-0.1892,0.6541,53.9231,19.6138,148.2532,65.1869,24.1151,8.7715,85.5940,37.6357
ENSMUSG00000106032.1,Gm42463,32,31.8,27.33333333,17.66666667,-0.0090,-0.8480,-0.6296,-0.2274,18.6682,18.9394,11.2398,16.0104,8.3487,8.4699,6.4893,9.2436
ENSMUSG00000106035.1,Gm43545,20,17.4,25,10.33333333,-0.2009,-0.7518,-1.2746,0.3219,14.4568,5.5946,14.1774,6.3509,6.4653,2.5020,8.1854,3.6667
ENSMUSG00000106037.1,Gm4332,88.2,67.4,94.33333333,185,-0.3880,1.4567,0.9717,0.0970,69.5536,22.8758,21.9393,129.5724,31.1053,10.2303,12.6667,74.8086
ENSMUSG00000106087.1,Gm43609,15.6,9,11.66666667,14.66666667,-0.7935,0.7045,0.3301,-0.4192,18.7963,5.8310,9.2916,7.6376,8.4060,2.6077,5.3645,4.4096
ENSMUSG00000106099.1,Gm42664,12.6,16.4,31.33333333,24,0.3803,0.5493,-0.3847,1.3143,9.7108,5.0299,20.5994,11.1355,4.3428,2.2494,11.8930,6.4291
ENSMUSG00000106103.1,Gm43081,23.4,30,51.66666667,27,0.3585,-0.1520,-0.9363,1.1427,9.4499,13.7113,22.2336,21.6333,4.2261,6.1319,12.8366,12.4900
